"","X","Gene.Name","D0.vs..D45.Log2.Fold.Change","D0.vs..D45.p.value","pval","log2fc","labels","sig"
"2266",5123,"TBC1D14",-2.062900994,9.05e-05,9.05e-05,-2.062900994,"TBC1D14","Down"
"2267",5124,"LOC105373051",-2.061374012,9.08e-05,9.08e-05,-2.061374012,"LOC105373051","Down"
"2268",5125,"PUDP",1.891717704,9.09e-05,9.09e-05,1.891717704,"PUDP","Up"
"2269",5135,"USP46",1.890758558,9.12e-05,9.12e-05,1.890758558,"USP46","Up"
"2270",5138,"LINC01549",1.945943897,9.12e-05,9.12e-05,1.945943897,"LINC01549","Up"
"2271",5140,"KBTBD13",-2.05965475,9.12e-05,9.12e-05,-2.05965475,"KBTBD13","Down"
"2272",5141,"TRIM21",1.88773297,9.14e-05,9.14e-05,1.88773297,"TRIM21","Up"
"2273",5143,"MIR4420",-2.106467627,9.16e-05,9.16e-05,-2.106467627,"MIR4420","Down"
"2274",5144,"NUDT12",1.877056721,9.17e-05,9.17e-05,1.877056721,"NUDT12","Up"
"2275",5153,"METTL15",1.864450344,9.22e-05,9.22e-05,1.864450344,"METTL15","Up"
"2276",5156,"KCTD7",1.87875746,9.24e-05,9.24e-05,1.87875746,"KCTD7","Up"
"2277",5158,"ARHGAP27P2",-1.975599438,9.28e-05,9.28e-05,-1.975599438,"ARHGAP27P2","Down"
"2278",5159,"CEP83-DT",1.900922179,9.28e-05,9.28e-05,1.900922179,"CEP83-DT","Up"
"2279",5160,"FHAD1",-1.978999469,9.29e-05,9.29e-05,-1.978999469,"FHAD1","Down"
"2280",5162,"CCT6P3",1.9024257,9.33e-05,9.33e-05,1.9024257,"CCT6P3","Up"
"2281",5163,"PKIA",1.868464924,9.33e-05,9.33e-05,1.868464924,"PKIA","Up"
"2282",5165,"ADAM9",1.863250652,9.33e-05,9.33e-05,1.863250652,"ADAM9","Up"
"2283",5168,"H3F3AP4",-2.530342511,9.33e-05,9.33e-05,-2.530342511,"H3F3AP4","Down"
"2284",5169,"SNORD140",-2.530342511,9.33e-05,9.33e-05,-2.530342511,"SNORD140","Down"
"2285",5170,"SNORA50D",-2.628676029,9.33e-05,9.33e-05,-2.628676029,"SNORA50D","Down"
"2286",5171,"CTXND2",-2.530342511,9.33e-05,9.33e-05,-2.530342511,"CTXND2","Down"
"2287",5172,"OASL",-2.274353474,9.33e-05,9.33e-05,-2.274353474,"OASL","Down"
"2288",5174,"OR2V2",-2.274353474,9.33e-05,9.33e-05,-2.274353474,"OR2V2","Down"
"2289",5176,"TRAK2",1.873732716,9.34e-05,9.34e-05,1.873732716,"TRAK2","Up"
"2290",5177,"ASNSD1",1.869967535,9.34e-05,9.34e-05,1.869967535,"ASNSD1","Up"
"2291",5178,"ASDURF",1.869652239,9.34e-05,9.34e-05,1.869652239,"ASDURF","Up"
"2292",5179,"PRAC2",-2.088855652,9.34e-05,9.34e-05,-2.088855652,"PRAC2","Down"
